"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:05:52.4586624","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C01\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.4586872","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C01\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4587292","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C01\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.4587446","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C01\4&34ff65f&0","SUCCESS",""
"21:05:52.4587752","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0","SUCCESS","Desired Access: Read"
"21:05:52.4588007","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4588519","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.4588673","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0103\3&11583659&0","SUCCESS",""
"21:05:52.4590379","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\90","SUCCESS","Desired Access: Read"
"21:05:52.4590627","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\90\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4591043","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\90\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.4591195","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\90","SUCCESS",""
"21:05:52.7146200","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"21:05:52.7146426","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS","Desired Access: Query Value"
"21:05:52.7146570","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002\(Default)","SUCCESS","Type: <Unknown: 4294905859>, Length: 96, Data: "
"21:05:52.7146655","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS",""
"21:05:52.7146727","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0","SUCCESS",""
"21:05:52.7146824","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"21:05:52.7146937","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS","Desired Access: Query Value"
"21:05:52.7147027","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002\(Default)","SUCCESS","Type: <Unknown: 4294905859>, Length: 96, Data: "
"21:05:52.7147087","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS",""
"21:05:52.7147150","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\0","SUCCESS",""
"21:05:52.7150739","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"21:05:52.7150987","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS","Desired Access: Query Value"
"21:05:52.7151127","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002\(Default)","SUCCESS","Type: <Unknown: 4294905859>, Length: 96, Data: "
"21:05:52.7151219","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS",""
"21:05:52.7151290","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1","SUCCESS",""
"21:05:52.7151384","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"21:05:52.7151493","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS","Desired Access: Query Value"
"21:05:52.7151586","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002\(Default)","SUCCESS","Type: <Unknown: 4294905859>, Length: 96, Data: "
"21:05:52.7151645","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1\Properties\{f0e20f09-d97a-49a9-8046-bb6e22e6bb2e}\0002","SUCCESS",""
"21:05:52.7151704","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\AMDI0010\1","SUCCESS",""
"21:05:52.7155632","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0","SUCCESS","Desired Access: Read"
"21:05:52.7155825","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.7156181","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.7156290","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0","SUCCESS",""
